Ticker,Sector,Debt to equity,Sales growth 3Years,Average return on equity 3Years,Piotroski score
FLUOROCHEM.NS,Chemicals,0.35,17.33,17.4,4
FORTIS.NS,Healthcare,0.28,10.83,8.68,8
FSL.NS,Services,0.63,10.46,15.16,3
GAIL.NS,Oil Gas & Consumable Fuels,0.25,15.22,12.05,7
GESHIP.NS,Services,0.15,14.9,21.24,7
GICRE.NS,Financial Services,0,0.44,14.39,8
GILLETTE.NS,Fast Moving Consumer Goods,0,9.93,38.9,9
GLAND.NS,Healthcare,0.03,8.47,9.23,5
GLAXO.NS,Healthcare,0.01,4.58,37.25,9
GLENMARK.NS,Healthcare,0.28,2.68,-9.68,5
GMDCLTD.NS,Metals & Mining,0.02,1.43,14.31,7
GMRAIRPORT.NS,Services,,31.3,,4
GNFC.NS,Chemicals,0.01,-2.98,9.98,9
GODFRYPHLP.NS,Fast Moving Consumer Goods,0.03,27.81,20.89,8
GODIGIT.NS,Financial Services,0.08,34.62,7.63,8
GODREJAGRO.NS,Fast Moving Consumer Goods,0.59,4.15,14.01,5
GODREJCP.NS,Fast Moving Consumer Goods,0.33,5.37,-9.87,5
GODREJIND.NS,Diversified,3.75,11.63,7.64,6
GODREJPROP.NS,Realty,0.73,39.21,7.83,6
GPIL.NS,Capital Goods,0.06,-0.13,20.27,4
GPPL.NS,Services,0.03,10.46,14.71,8
GRANULES.NS,Healthcare,0.32,11.65,16.51,3
GRAPHITE.NS,Capital Goods,0.03,-5.43,4.62,8
GRASIM.NS,Construction Materials,1.91,15.77,6.45,2
GRAVITA.NS,Metals & Mining,0.14,20.41,28.54,4
GRSE.NS,Capital Goods,0,42.49,22.91,8
GSPL.NS,Oil Gas & Consumable Fuels,0.01,-1.16,14.57,6
GUJGASLTD.NS,Oil Gas & Consumable Fuels,0.02,0.06,17.35,6
GVT&D.NS,Capital Goods,0.02,11.87,21.27,9
HAL.NS,Capital Goods,0,7.96,27.3,6
HAPPSTMNDS.NS,Information Technology,0.79,23.52,19.39,4
HAVELLS.NS,Consumer Durables,0.04,16.04,17.97,7
HBLENGINE.NS,Capital Goods,0.05,16.75,20.19,6
HCLTECH.NS,Information Technology,0.09,10.97,23.87,6
HDFCAMC.NS,Financial Services,0,12.93,29.13,5
HDFCBANK.NS,Financial Services,6.46,35.26,16.01,5
HDFCLIFE.NS,Financial Services,0.18,13.03,10.92,7
HEG.NS,Capital Goods,0.13,-0.62,7.43,6
HEROMOTOCO.NS,Automobile and Auto Components,0.04,11.46,20.93,7
HFCL.NS,Telecommunication,0.33,-4.91,7.66,3
HINDALCO.NS,Metals & Mining,0.52,6.93,12.23,8
HINDCOPPER.NS,Metals & Mining,0.04,-1.32,16.94,5
HINDPETRO.NS,Oil Gas & Consumable Fuels,1.38,7.45,12.55,5
HINDUNILVR.NS,Fast Moving Consumer Goods,0.03,6.37,20.47,7
HINDZINC.NS,Metals & Mining,0.82,4.89,55.08,8
HOMEFIRST.NS,Financial Services,3.79,36.95,15.3,3
HONASA.NS,Fast Moving Consumer Goods,0.09,26.04,,4
HONAUT.NS,Capital Goods,0.02,12.43,14.3,4
HSCL.NS,Chemicals,0.08,18.23,14.81,7
HUDCO.NS,Financial Services,5.97,13.86,13.51,6
HYUNDAI.NS,Automobile and Auto Components,0.05,12.88,34.8,6
ICICIBANK.NS,Financial Services,5.97,25,18.02,5
ICICIGI.NS,Financial Services,0,14.35,17.86,7
ICICIPRULI.NS,Financial Services,0.22,3.65,9.01,5
IDBI.NS,Financial Services,5.35,16.44,11.42,7
IDEA.NS,Telecommunication,,0.55,,5
IDFCFIRSTB.NS,Financial Services,7.66,28.58,7.88,5
IEX.NS,Financial Services,0.01,7.95,38.66,9
IFCI.NS,Financial Services,0.43,6.44,1.07,3
IGIL.NS,Services,0.01,29.13,48.83,5
IGL.NS,Oil Gas & Consumable Fuels,0.01,24.64,19.68,5
IIFL.NS,Financial Services,4.15,13.46,13.13,2
IKS.NS,Information Technology,0.48,51.66,37.02,6
INDGN.NS,Healthcare,0.04,19.48,24.09,6
INDHOTEL.NS,Consumer Services,0.28,39.71,14.66,9
INDIACEM.NS,Construction Materials,0.11,-5.13,-5.96,4
INDIAMART.NS,Consumer Services,0.02,22.6,19.67,7
INDIANB.NS,Financial Services,10.89,16.85,15.03,7
INDIGO.NS,Services,7.21,46.06,,5
INDUSINDBK.NS,Financial Services,7.22,16.45,10.95,4
INDUSTOWER.NS,Telecommunication,0.65,2.81,23.66,8
INFY.NS,Information Technology,0.09,10.25,30.72,6
INOXINDIA.NS,Capital Goods,0.05,18.61,30.2,5
INOXWIND.NS,Capital Goods,1.33,34.86,-27.68,4
INTELLECT.NS,Information Technology,0.03,10,13.69,5
IOB.NS,Financial Services,10.88,18.91,9.99,5
IOC.NS,Oil Gas & Consumable Fuels,0.82,8.76,13.12,4
IPCALAB.NS,Healthcare,0.18,12.41,11.35,7
IRB.NS,Construction,1.04,9.47,5.3,9
IRCON.NS,Construction,0.68,13.39,14.46,3
IRCTC.NS,Consumer Services,0.01,76.5,41.89,6
IREDA.NS,Financial Services,6.03,33.09,17.14,6
IRFC.NS,Financial Services,7.83,10.18,13.56,8
ITC.NS,Fast Moving Consumer Goods,0,7.49,28.31,5
ITI.NS,Telecommunication,1.05,-18.82,-11.42,3
J&KBANK.NS,Financial Services,10.62,16.1,15.14,5
JBCHEPHARM.NS,Healthcare,0.01,17.35,19.63,8
JBMA.NS,Automobile and Auto Components,1.95,19.67,15.09,7
JINDALSAW.NS,Capital Goods,0.43,16.13,12.9,6
JINDALSTEL.NS,Metals & Mining,0.39,-0.92,10.76,4
JIOFIN.NS,Financial Services,0.03,,,4
JKCEMENT.NS,Construction Materials,0.99,14.13,13.21,7
JKTYRE.NS,Automobile and Auto Components,1.01,7.03,13.86,4
JMFINANCIL.NS,Financial Services,1.18,5.53,5.67,5
JPPOWER.NS,Power,0.31,5.71,6.86,7
JSL.NS,Metals & Mining,0.38,6.3,18.21,4
JSWENERGY.NS,Power,1.83,12.88,7.94,3
JSWHL.NS,Financial Services,0,22.25,1.09,4
JSWINFRA.NS,Services,0.52,25.34,18.29,5
JSWSTEEL.NS,Metals & Mining,1.24,4.87,7.39,5
JUBLFOOD.NS,Consumer Services,2.08,22.8,13.82,6
JUBLINGREA.NS,Chemicals,0.26,-5.49,9.24,7
JUBLPHARMA.NS,Healthcare,0.44,5.68,1.36,7
JUSTDIAL.NS,Consumer Services,0.02,20.85,6.56,7
JWL.NS,Capital Goods,0.14,48.65,20.02,5
JYOTHYLAB.NS,Fast Moving Consumer Goods,0.03,9.03,18.6,6
JYOTICNC.NS,Capital Goods,0.29,34.53,19.52,4
KAJARIACER.NS,Consumer Durables,0.1,7.75,15.03,3
KALYANKJIL.NS,Consumer Durables,1.03,32.29,14.97,6
KANSAINER.NS,Consumer Durables,0.05,7.09,11.34,5
KARURVYSYA.NS,Financial Services,8.66,20.09,16.37,6
KAYNES.NS,Capital Goods,0.32,56.8,11.48,2
KEC.NS,Construction,0.74,16.71,8.84,7
KEI.NS,Capital Goods,0.04,19.35,18.09,3
KFINTECH.NS,Financial Services,0.03,19.48,25.5,8
KIMS.NS,Healthcare,1.2,22.51,19.21,3
KIRLOSBROS.NS,Capital Goods,0.09,13.68,20.91,8
KIRLOSENG.NS,Capital Goods,1.89,16.44,16.02,3
KNRCON.NS,Construction,0.34,15.12,18.98,6
KOTAKBANK.NS,Financial Services,3.76,24.85,14.2,5
KPIL.NS,Construction,0.66,14.73,9.6,5
KPITTECH.NS,Information Technology,0.12,33.92,30.67,9
KPRMILL.NS,Textiles,0.09,9.82,19.65,8
LALPATHLAB.NS,Healthcare,0.07,5.65,20.24,8
LATENTVIEW.NS,Information Technology,0.02,27.63,12.63,4
LAURUSLABS.NS,Healthcare,0.62,4.01,10.86,7
LEMONTREE.NS,Consumer Services,2.23,62.05,6.68,7
LICHSGFIN.NS,Financial Services,7.45,12.06,14.67,5
LICI.NS,Financial Services,0,6.98,79.15,6
LINDEINDIA.NS,Chemicals,0.01,5.58,14.28,6
LLOYDSME.NS,Metals & Mining,0.12,113.4,46.2,4
LODHA.NS,Realty,0.35,14.28,11.37,7
LT.NS,Construction,1.36,17.78,14.22,5
LTF.NS,Financial Services,3.61,10.11,7.09,4
LTFOODS.NS,Fast Moving Consumer Goods,0.33,16.95,17.63,3
LTIM.NS,Information Technology,0.1,13.33,24.66,5
LTTS.NS,Information Technology,0.1,17.55,25.32,5
LUPIN.NS,Healthcare,0.32,11.45,13.48,6
M&M.NS,Automobile and Auto Components,1.62,20.87,18.18,6
M&MFIN.NS,Financial Services,5.53,17.37,10.92,4
MAHABANK.NS,Financial Services,11.53,24.21,21.41,6
MAHSEAMLES.NS,Capital Goods,0,7.76,15.94,7
MANAPPURAM.NS,Financial Services,2.9,18.32,15.37,5
MANKIND.NS,Healthcare,0.59,16.19,18.67,4
MANYAVAR.NS,Consumer Services,0.27,11.18,27.24,5
MAPMYINDIA.NS,Information Technology,0.04,32.21,20.25,5
MARICO.NS,Fast Moving Consumer Goods,0.14,4.42,38.78,6
MARUTI.NS,Automobile and Auto Components,0,20.07,15.31,7
MASTEK.NS,Information Technology,0.24,16.52,17.07,6
MAXHEALTH.NS,Healthcare,0.32,21.32,13.92,3
MAZDOCK.NS,Capital Goods,0,32.74,27.31,8
MCX.NS,Financial Services,0,44.76,17.57,9
MEDANTA.NS,Healthcare,0.21,19.43,16.89,7
METROPOLIS.NS,Healthcare,0.15,2.72,13,6
MFSL.NS,Financial Services,0.19,14.22,8.75,8
MGL.NS,Oil Gas & Consumable Fuels,0.03,24.82,22.28,6
MINDACORP.NS,Automobile and Auto Components,0.25,25.24,15.21,7
MMTC.NS,Services,0.09,-95.17,,4
MOTHERSON.NS,Automobile and Auto Components,0.78,19.82,8.51,6
MOTILALOFS.NS,Financial Services,1.33,24.72,25.15,3
MPHASIS.NS,Information Technology,0.2,5.96,19.47,6
MRF.NS,Automobile and Auto Components,0.2,13.38,9.52,5
MRPL.NS,Oil Gas & Consumable Fuels,1.01,10.72,19.31,5
MSUMI.NS,Automobile and Auto Components,0.16,18.26,39.21,4
MUTHOOTFIN.NS,Financial Services,3.38,18.38,18.73,1
NAM-INDIA.NS,Financial Services,0.02,13.31,27.48,5
NATCOPHARM.NS,Healthcare,0.03,24.9,15.78,6
NATIONALUM.NS,Metals & Mining,0.01,5.7,19.63,9
NAUKRI.NS,Consumer Services,0.01,31.01,5.68,8
NAVA.NS,Power,0.12,5.97,17.94,7
NAVINFLUOR.NS,Chemicals,0.56,17.36,13.02,7
NBCC.NS,Construction,0,14.48,20.9,8
NCC.NS,Construction,0.22,25.85,11.09,7
NESTLEIND.NS,Fast Moving Consumer Goods,0.95,11.08,106.53,3
NETWEB.NS,Information Technology,0.01,66.93,29.5,3
NETWORK18.NS,Media Entertainment & Publication,0.62,5.41,-2.93,2
NEULANDLAB.NS,Healthcare,0.1,15.8,19.29,5
NEWGEN.NS,Information Technology,0.04,24.05,21.97,7
NH.NS,Healthcare,0.67,14,28.83,5
NHPC.NS,Power,1,4.32,9.34,6
NIACL.NS,Financial Services,0,6.75,1.37,5
NIVABUPA.NS,Financial Services,0.07,36.48,6.13,7
NLCINDIA.NS,Power,1.2,8.18,12.4,7
NMDC.NS,Metals & Mining,0.15,11.5,29.04,6
NSLNISP.NS,Metals & Mining,0.45,,-3.73,1
NTPC.NS,Power,1.36,12.35,13.13,8
NTPCGREEN.NS,Power,1.05,,,5
NUVAMA.NS,Financial Services,2.48,31.63,18.74,5
NYKAA.NS,Consumer Services,1,37.79,2.58,5
OBEROIRLTY.NS,Realty,0.21,25.19,14.98,6
OFSS.NS,Information Technology,0.01,9.45,27.79,7
OIL.NS,Oil Gas & Consumable Fuels,0.62,7.87,18.18,4
OLAELEC.NS,Automobile and Auto Components,0.51,1699.32,,4
OLECTRA.NS,Automobile and Auto Components,0.24,44.82,10.55,7
ONGC.NS,Oil Gas & Consumable Fuels,0.55,10.53,13.57,4
PAGEIND.NS,Textiles,0.19,8.29,44.34,6
PATANJALI.NS,Fast Moving Consumer Goods,0.07,12.16,10.26,6
PAYTM.NS,Financial Services,0.01,11.53,-10.82,2
PCBL.NS,Chemicals,1.51,23.64,14.81,5
PEL.NS,Financial Services,2.42,9.95,3.19,5
PERSISTENT.NS,Information Technology,0.05,27.87,24.69,7
PETRONET.NS,Oil Gas & Consumable Fuels,0.13,5.7,22.15,7
PFC.NS,Financial Services,8.25,11.78,20.95,6
PFIZER.NS,Healthcare,0.01,-4.4,17.29,9
PGEL.NS,Consumer Durables,0.14,63.62,16.67,6
PHOENIXLTD.NS,Realty,0.45,37.73,10.96,6
PIDILITIND.NS,Chemicals,0.05,9.82,21.73,8
PIIND.NS,Chemicals,0.02,14.61,19,6
PNB.NS,Financial Services,12.64,17.6,9.41,7
PNBHOUSING.NS,Financial Services,3.7,7.52,11.56,4
PNCINFRA.NS,Construction,1.51,14.33,17.36,6
POLICYBZR.NS,Financial Services,0.05,51.73,-0.62,5
POLYCAB.NS,Capital Goods,0.02,22.45,22,4
POLYMED.NS,Healthcare,0.07,21.87,16.59,5
POONAWALLA.NS,Financial Services,3.19,39.6,6.56,0
POWERGRID.NS,Power,1.41,3.23,18.46,7
POWERINDIA.NS,Capital Goods,0.02,9.34,12.24,8
PPLPHARMA.NS,Healthcare,0.6,11.74,-0.36,8
PRAJIND.NS,Capital Goods,0.14,11.27,20.29,4
PREMIERENE.NS,Capital Goods,0.69,106.26,43.25,8
PRESTIGE.NS,Realty,0.75,2.84,9.13,6
PTCIL.NS,Capital Goods,0.08,16.29,9.37,6
PVRINOX.NS,Media Entertainment & Publication,1.1,63.21,-3.55,4
RADICO.NS,Fast Moving Consumer Goods,0.28,19.27,11.71,7
RAILTEL.NS,Telecommunication,0.02,31.72,14.7,6
RAINBOW.NS,Healthcare,0.52,15.9,19.87,6
RAMCOCEM.NS,Construction Materials,0.63,12.37,3.64,5
RAYMOND.NS,Realty,0.2,-31.95,22.04,6
RAYMONDLSL.NS,Textiles,0.24,,,3
RBLBANK.NS,Financial Services,8.04,18.47,6.83,3
RCF.NS,Chemicals,0.6,27.05,13.6,2
RECLTD.NS,Financial Services,6.33,12.8,21.42,4
REDINGTON.NS,Services,0.32,16.61,17.4,6
RELIANCE.NS,Oil Gas & Consumable Fuels,0.44,11.57,8.89,5
RENUKA.NS,Fast Moving Consumer Goods,,19.28,,4
RHIM.NS,Capital Goods,0.12,40.26,13.87,6
RITES.NS,Construction,0,-5.9,17.76,4
RKFORGE.NS,Automobile and Auto Components,0.5,45.31,18.81,6
ROUTE.NS,Telecommunication,0.19,31.72,16.95,5
RPOWER.NS,Power,0.93,0.35,-9.59,8
RRKABEL.NS,Capital Goods,0.13,20.21,16.02,4
RTNINDIA.NS,Consumer Services,0.87,3728.06,-8.32,5
RVNL.NS,Construction,0.57,0.92,17.53,5
SAGILITY.NS,Information Technology,0.17,82.03,4.86,8
SAIL.NS,Metals & Mining,0.72,15.1,11.28,7
SAILIFE.NS,Healthcare,0.13,24.99,8.5,7
SAMMAANCAP.NS,Financial Services,1.96,-1.37,0.95,3
SAPPHIRE.NS,Consumer Services,0.92,18.74,8.29,5
SARDAEN.NS,Metals & Mining,0.46,5.86,15.19,6
SAREGAMA.NS,Media Entertainment & Publication,0,26.68,13.63,6
SBFC.NS,Financial Services,1.65,35.12,10.86,5
SBICARD.NS,Financial Services,3.26,19.17,20.14,3
SBILIFE.NS,Financial Services,0,12.1,13.52,7
SBIN.NS,Financial Services,12.42,19.19,17.12,6
SCHAEFFLER.NS,Automobile and Auto Components,0.01,13.25,20.24,4
SCHNEIDER.NS,Capital Goods,0.93,19.88,100.68,9
SCI.NS,Services,0.27,3.97,10.84,9
SHREECEM.NS,Construction Materials,0.05,8.71,8.14,6
SHRIRAMFIN.NS,Financial Services,4.15,29.52,16.21,4
SHYAMMETL.NS,Capital Goods,0.07,13.35,10.97,7
SIEMENS.NS,Capital Goods,0.01,19,15.92,8
SIGNATURE.NS,Realty,1.17,40.47,,8
SJVN.NS,Power,1.63,1.24,7.97,5
SKFINDIA.NS,Capital Goods,0,10.3,22.59,4
SOBHA.NS,Realty,0.44,13.65,4.07,5
SOLARINDS.NS,Chemicals,0.22,24.07,32.1,8
SONACOMS.NS,Automobile and Auto Components,0.04,18.51,17.53,5
SONATSOFTW.NS,Information Technology,0.3,22.29,31.33,7
SRF.NS,Chemicals,0.37,5.72,14.63,7
STARHEALTH.NS,Financial Services,0.07,14.95,11.92,6
SUMICHEM.NS,Chemicals,0.01,0.94,19.16,7
SUNDARMFIN.NS,Financial Services,4.63,18.41,14.66,6
SUNDRMFAST.NS,Automobile and Auto Components,0.22,6.7,16.06,5
SUNPHARMA.NS,Healthcare,0.03,10.8,16.72,8
SUNTV.NS,Media Entertainment & Publication,0.01,10.46,19.61,7
SUPREMEIND.NS,Capital Goods,0.01,10.36,19.91,5
SUZLON.NS,Capital Goods,0.06,24.96,,7
SWANENERGY.NS,Chemicals,0.36,150.16,1.48,7
SWIGGY.NS,Consumer Services,0.17,38.71,,4
SWSOLAR.NS,Construction,0.93,6.62,-76.14,5
SYNGENE.NS,Healthcare,0.12,11.83,12.31,6
SYRMA.NS,Capital Goods,0.38,54.86,9.21,8
TANLA.NS,Information Technology,0.03,7.9,28.53,5
TARIL.NS,Capital Goods,0.23,20.31,16.93,5
TATACHEM.NS,Chemicals,0.33,5.66,4.89,5
TATACOMM.NS,Telecommunication,4.09,11.38,74.75,6
TATACONSUM.NS,Fast Moving Consumer Goods,0.12,12.34,7.43,7
TATAELXSI.NS,Information Technology,0.07,14.71,34.2,5
TATAINVEST.NS,Financial Services,0,6.32,1.27,4
